Threads,Matrix Size,Runtime (s),Speedup
7,20000,0.377186,6.5015
7,40000,1.51945,6.46241
8,20000,0.347814,7.05053
8,40000,1.33571,7.35136
16,20000,0.20102,12.1991
16,40000,0.703475,13.9583
20,20000,0.158362,15.4852
20,40000,0.572681,17.1462
40,20000,0.0974848,25.1554
40,40000,0.359004,27.3515
1,20000,2.45509,1
1,40000,9.82529,1
2,20000,1.24941,1.965
2,40000,5.01074,1.96085
4,20000,0.653054,3.7594
4,40000,2.60211,3.77589
7,20000,0.502478,4.88597
7,40000,1.56222,6.28932
8,20000,0.369805,6.63888
8,40000,1.38382,7.10009
16,20000,0.231594,10.6009
16,40000,0.810173,12.1274
20,20000,0.175888,13.9583
20,40000,0.59592,16.4876
40,20000,0.0987118,24.8713
40,40000,0.359865,27.3027
